RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
672,Multi-site data collection facility,R. Schantz,December 1974,UNKNOWN,Legacy,,
694,Protocol information,J. Postel,June 1975,UNKNOWN,Legacy,,
699,Request For Comments summary notes: 600-699,"J. Postel,J. Vernon",November 1982,INFORMATIONAL,Legacy,,
739,Assigned numbers,J. Postel,November 1977,HISTORIC,Legacy,,
750,Assigned numbers,J. Postel,September 1978,HISTORIC,Legacy,,
755,Assigned numbers,J. Postel,May 1979,HISTORIC,Legacy,,
758,Assigned numbers,J. Postel,August 1979,HISTORIC,Legacy,,
762,Assigned numbers,J. Postel,January 1980,HISTORIC,Legacy,,
770,Assigned numbers,J. Postel,September 1980,HISTORIC,Legacy,,
776,Assigned numbers,J. Postel,January 1981,HISTORIC,Legacy,,
790,Assigned numbers,J. Postel,September 1981,HISTORIC,Legacy,,
820,Assigned numbers,J. Postel,August 1982,HISTORIC,Legacy,,
870,Assigned numbers,"J. Postel,J.K. Reynolds",October 1983,HISTORIC,Legacy,,
900,Assigned Numbers,"J. Postel,J.K. Reynolds",June 1984,HISTORIC,Legacy,,
923,Assigned numbers,"J. Postel,J.K. Reynolds",October 1984,HISTORIC,Legacy,,
943,Assigned numbers,"J. Postel,J.K. Reynolds",April 1985,HISTORIC,Legacy,,
960,Assigned numbers,"J. Postel,J.K. Reynolds",December 1985,HISTORIC,Legacy,,
990,Assigned numbers,"J. Postel,J.K. Reynolds",November 1986,HISTORIC,Legacy,,
1000,Request For Comments reference guide,"J. Postel,J.K. Reynolds",August 1987,UNKNOWN,Legacy,,
1010,Assigned numbers,"J. Postel,J.K. Reynolds",May 1987,HISTORIC,Legacy,,
1060,Assigned numbers,"J. Postel,J.K. Reynolds",March 1990,HISTORIC,Legacy,,
1340,Assigned Numbers,"J. Postel,J. Reynolds",July 1992,HISTORIC,Legacy,,
1700,Assigned Numbers,"J. Postel,J. Reynolds",October 1994,HISTORIC,Legacy,,
