Author,RFC_Match_Count
J. Rulifson,1
S.D. Crocker,2
W.K. English,1
D.C. Walden,2
J.E. White,10
G.R. Grossman,2
J. Bouknight,1
J. Madden,1
J. Postel,58
E. Meyer,4
R.W. Watson,6
P.M. Karp,1
J. Winett,1
E. Harslem,3
J. Heafner,1
R.E. Kahn,1
J.M. Winett,3
R.B. Kalin,1
Network Information Center. Stanford Research Institute,2
J.F. Heafner,2
A.K. Bhushan,4
R.M. Metcalfe,1
D.B. McKay,1
D.P. Karp,1
R.T. Braden,8
J.B. North,1
J.T. Melvin,1
A. Bhushan,1
E. Forman,1
D.E. Liddle,2
I.W. Cotton,2
J.C. Michener,2
K.C. Kelley,2
G. Hicks,3
D. Murphy,1
R.D. Bressler,4
R. Stoughton,1
D. Crocker,26
M.D. Abrams,1
J.R. Pickens,3
R. Braden,14
B.D. Wessler,1
M. Krilanovich,7
A.D. Owen,1
R. Thomas,6
E. Faeh,1
M.A. Padlipsky,9
A.M. McKenzie,2
M.D. Kudlick,2
B.R. Reussow,1
K.T. Pogran,3
R. Winter,7
E.J. Feinler,2
N. Vaughan,1
J.D. Day,2
W. Parrish,1
J.M. McQuillan,1
R.G. Merryman,1
N. Neigus,3
L.P. Deutsch,1
J. Iseli,1
A. Stokes,1
G. Gregg,2
J. Hill,1
W. Greiff,1
E.A. Taft,1
W. Hathaway,1
V. Cerf,5
R. Schantz,2
C. Sunshine,1
Y. Dalal,1
P.R. Johnson,1
S. Holmgren,1
B. Harvey,2
V.G. Cerf,2
J. Vernon,1
J.E. Donnelley,1
L.L. Garlick,1
D.A. Henderson,1
J. Vittal,1
P.D. Lebling,1
S. Sluizer,1
T. Chang,2
D.D. Clark,6
Z. Su,1
A. Sheltzer,1
R.M. Hinden,1
National Bureau of Standards,1
M.R. Horton,2
R. Hinden,12
J.K. Reynolds,15
P.V. Mockapetris,2
International Organization for Standardization,4
ISO,1
P. Kirton,1
M. Lottor,1
D. Chase,1
J. Goldberger,1
M. Butler,1
T. Miller,1
National Research Council,2
J.C. Mogul,1
D.L. Mills,1
J. Reynolds,16
D.P. Sidhu,1
H.W. Braun,2
M.L. Lambert,5
National Science Foundation,1
Network Technical Advisory Group,1
L. Zhang,11
End-to-End Services Task Force,1
Internet Activities Board,1
NetBIOS Working Group in the Defense Advanced Research Projects Agency,1
W. McCoy,1
B.M. Leiner,3
S.E. Kille,3
R. Adams,2
B. Greenberg,1
S. Keene,1
D.R. Cheriton,1
A.L. DeSchon,2
C. Partridge,5
D.A. Borman,3
L. Besaw,1
U.S. Warrier,1
K.R. Sollins,1
J. Linn,5
S.T. Kent,1
D. Estrin,6
M. Little,1
D. Oran,4
V. Jacobson,9
R.H. Stine,1
A. Westine,2
C.E. Ward,1
J. VanBokkelen,1
A. Yuan,1
K. Roubicek,1
K.L. Bowers,1
M.K. Stahl,1
T.L. LaQuey,1
A.N. Marine,2
G.S. Malkin,2
C.J. Kale,1
T.J. Socolofsky,1
D. Katz,3
C. Topolcic,2
B. Kahin,1
D. Ferrari,1
