Working_Group,RFC_Match_Count,Matched_RFC_IDs
eman,4,"6988,7326,7460,7603"
weirds,2,"7480,7481"
modemmgt,1,1696
l3sm,1,8049
lsma,2,"2502,2729"
idr,13,"1654,1745,1774,2439,2545,4274,5291,5575,7606,7674,7752,7947,8654"
nemo,1,4888
calsify,2,"5545,5546"
regext,4,"8748,8807,8977,8982"
ipsra,2,"3456,3457"
avtext,7,"6464,6659,6828,7728,7941,8286,8852"
noctool2,1,1470
sipping,17,"3398,3578,3665,3702,3824,3842,4083,4484,4497,4575,4730,5039,5390,5850,5897,6035,6795"
ipsec,9,"1829,2401,2405,2407,2409,2451,3602,3715,4301"
6lowpan,5,"4919,6282,6568,6606,6775"
tn3270e,2,"1647,2355"
xmldsig,2,"3076,3653"
ipr,4,"3668,3669,3905,3979"
cdi,2,"3466,3570"
l2vpn,5,"4665,5501,6136,6246,7432"
pwe3,16,"4197,4553,4842,5085,5086,5087,5254,5287,5659,6240,6310,6391,6478,6870,7267,7338"
mobileip,9,"2002,2003,2004,2356,2977,3220,3344,3543,3775"
storm,2,"6581,7143"
idn,1,3490
hip,1,7401
iplpdn,1,1356
aqm,3,"7567,8289,8290"
mptcp,8,"6181,6182,6356,6824,6897,7430,8041,8684"
ospf,16,"1245,1246,1247,1586,1793,2178,2328,2676,2740,5340,5449,5643,5820,6992,7166,8665"
ipsecme,12,"5685,5840,5879,5996,5998,6071,7296,7619,8019,8221,8229,8247"
bmwg,19,"2285,2761,3133,3222,4098,4689,4814,5180,5695,6412,6413,6645,7501,7640,7654,8219,8238,8239,9004"
radext,29,"4282,4372,4590,4670,4671,4672,4673,4675,4818,4849,5080,5090,5176,5607,5997,6158,6421,6613,6614,6911,6929,7268,7360,7499,7542,7585,7930,8045,8559"
ipfc,1,2837
sfc,6,"7498,7665,8300,8459,8924,8979"
eap,4,"3748,4137,5113,5247"
ucp,1,1297
mip6,11,"4225,4283,4285,4640,4877,4882,5026,5142,5419,6610,6611"
sasl,1,5802
manet,14,"2501,3561,5148,6130,6621,6622,7181,7182,7184,7185,7186,7466,7779,8116"
psamp,3,"5474,5475,5476"
tewg,6,"3272,3346,3564,4105,4124,4216"
siprec,2,"7245,7866"
ngtrans,3,"2765,2766,3053"
crisp,1,4991
mailext,2,"1844,1845"
aaa,11,"2924,2975,2989,3127,3539,3588,4004,4005,4006,4072,4740"
abfab,6,"7055,7056,7057,7831,7832,7833"
spring,1,7855
rohc,14,"3095,3096,3242,3320,3321,3322,4163,4362,4413,4465,4896,4997,5049,5858"
nea,2,"5209,6813"
dnsop,14,"2870,4641,4892,6168,6781,7344,7583,7873,8501,8618,8901,8906,8914,8976"
secsh,2,"4252,4462"
jcardcal,1,7095
syslog,1,5848
tram,4,"7350,7635,7982,8489"
secevent,2,"8417,8936"
http,8,"1945,2068,2227,2295,2296,2310,2616,2965"
netlmm,2,"5213,6097"
6tisch,4,"7554,8180,9031,9033"
intserv,6,"2210,2211,2212,2215,2216,3006"
xmpp,6,"3920,3921,6120,6121,6122,7622"
ianaplan,1,7979
ecrit,9,"5031,5069,5222,6443,7090,7378,7406,7852,8148"
printmib,2,"2707,2708"
ppsp,2,"7574,7846"
sip,15,"2976,3261,3312,3323,3327,3515,4412,4474,5365,5368,5393,5626,5627,5630,5658"
urnbis,1,8141
send,1,3971
httpbis,8,"7230,7231,7540,7541,8188,8470,8941,8942"
stox,3,"7247,7248,8048"
6man,10,"5453,5952,6436,6980,7045,7371,8021,8028,8200,8981"
mobike,2,"4555,4621"
nimrod,2,"1992,2102"
rtcweb,5,"7675,8826,8827,8834,8854"
ipwave,1,8691
hubmib,4,"2358,2665,3635,5066"
taps,1,8304
find,2,"2654,2657"
lwig,2,"8352,9006"
rps,2,"2650,2725"
16ng,2,"5121,5692"
straw,1,8079
decade,2,"6392,6646"
tcpimpl,1,2525
NON WORKING GROUP,194,"2791,2811,2834,2849,2970,3348,3435,3439,3447,3454,3455,3462,3575,3629,3687,3704,3766,3778,3805,3834,3871,3929,3943,3944,3986,3987,4017,4071,4086,4146,4152,4181,4186,4187,4217,4226,4284,4288,4312,4322,4324,4329,4371,4403,4405,4406,4408,4458,4459,4504,4524,4622,4633,4681,4692,4739,4746,4757,4772,4790,4791,4851,4868,4870,4910,4911,4930,4962,5013,5014,5068,5078,5106,5111,5116,5122,5141,5147,5210,5217,5224,5226,5237,5248,5281,5321,5322,5381,5406,5421,5430,5431,5448,5451,5468,5503,5515,5518,5570,5594,5598,5631,5657,5727,5730,5797,5807,5849,5864,5869,5873,5887,5901,5931,5941,5989,6011,6043,6045,6048,6057,6109,6125,6127,6150,6180,6189,6238,6272,6281,6293,6301,6338,6345,6359,6369,6385,6449,6451,6467,6557,6561,6578,6586,6601,6629,6638,6710,6758,6762,6763,6764,6778,6867,6913,6920,6922,6955,7042,7049,7081,7088,7149,7151,7270,7282,7292,7315,7491,7659,7729,7735,7791,7842,7915,8011,8017,8018,8067,8101,8107,8126,8158,8179,8228,8299,8404,8458,8485,8536,8594,8619,8753,8880"
pppext,17,"1331,1547,1548,1549,1553,1661,1662,1969,1979,1990,2419,2433,2637,2661,2759,2823,3078"
pim,6,"3973,4601,5015,6807,7761,8059"
smds,1,1209
ancp,5,"5713,5851,6320,6934,7256"
i2rs,4,"7921,7922,8241,8345"
edi,1,1865
appsawg,11,"6522,6838,7001,7033,7103,7293,7352,7565,7601,7807,8089"
mhsds,2,"1801,1802"
userdoc,1,1175
ledbat,1,6817
i2nsf,2,"8192,8329"
hokey,8,"5169,5296,5749,5836,6440,6630,6696,6697"
modern,1,8396
softwire,14,"4925,5571,5619,5969,6519,6674,6908,6930,7040,7597,7598,7599,8513,8658"
slim,1,8373
sacred,3,"3157,3760,3767"
l3vpn,9,"4031,4110,4176,4365,4834,6368,6513,6517,7024"
soc,3,"6357,7339,7415"
nir,1,1689
multimob,2,"7161,7287"
rsvp,4,"2205,2207,2208,2746"
qresync,1,7162
suit,1,9019
frnetmib,2,"1596,2954"
ice,2,"8445,8838"
xrblock,3,"7003,8015,8451"
rap,9,"2748,2750,2753,2940,3084,3318,3483,3521,3571"
trill,8,"6325,6327,7173,7174,7177,7178,7780,7781"
6lo,1,8931
intarea,5,"6269,6398,6864,6967,8386"
mile,6,"6545,7970,8134,8322,8600,8727"
pals,2,"7769,7893"
ssm,1,4607
grip,2,"2350,3013"
sdr,1,1940
pana,5,"4016,4058,5191,5193,5609"
pier,2,"1916,2072"
sidr,4,"6481,6810,6945,8210"
keyprov,1,6063
sipclf,1,6872
ecm,1,3124
mmusic,16,"2974,3259,3890,4435,4566,5432,5939,6544,7195,7345,7362,7604,7826,8843,8865,8866"
cat,8,"1507,1508,1510,2078,2228,2743,2744,2853"
imapapnd,1,7889
ipoib,2,"4391,4755"
payload,5,"6295,6469,7798,8088,8627"
ids,2,"2116,2378"
dkim,6,"4686,5016,5585,5863,6376,6377"
ips,5,"3347,3720,3721,3723,4044"
ace,1,7744
babel,4,"8965,8966,8967,8968"
ipfix,19,"3917,3955,5101,5103,5153,5470,5472,5473,5655,5815,5982,6183,6235,6615,6728,7011,7014,7015,7119"
ipv6,6,"3542,3587,3769,4007,4311,4861"
megaco,4,"2805,2885,3015,3525"
uta,3,"7590,8314,8997"
fddi,2,"1188,1390"
pcn,4,"5559,5670,6661,6662"
karp,3,"6862,7210,7211"
imapext,1,4314
vpim,1,3458
tcpsat,2,"2488,2760"
lsr,1,8666
nat,3,"3022,3103,3104"
lamps,2,"8551,8659"
pcp,4,"6887,6970,7652,7843"
Poisson,2,"2418,3005"
pmtud,1,4821
pilc,2,"3449,3819"
rtgwg,13,"5714,5715,6571,6976,6981,7431,7490,7812,7916,7938,8333,8405,8678"
run,3,"1855,2635,3098"
rmcat,5,"8298,8593,8698,8868,8869"
atommib,2,"2512,2513"
telnet,6,"1184,1408,1409,1411,1412,1572"
conneg,3,"2703,2913,2938"
roll,11,"5673,5826,5867,6550,6551,6997,6998,7416,8036,9008,9010"
geopriv,10,"3693,3694,4676,4776,5580,5870,6155,6280,7035,7105"
ipo,2,"3717,4054"
rolc,1,1937
xcon,2,"4376,6503"
grow,4,"4786,6198,6382,7789"
nsis,14,"3583,3726,4080,4081,4094,4230,5971,5973,5974,5975,5977,5978,5980,5981"
sieve,9,"5228,5230,5233,5435,5437,5463,5804,6009,6133"
extra,1,8970
pcc,1,1254
vcarddav,1,6352
snmpv3,6,"2264,2265,2574,2575,3414,3415"
ftpext,2,"2640,3659"
iptel,2,"2871,3219"
midcom,3,"3304,3489,4097"
ipdvb,1,4947
mip4,15,"3846,3957,4433,4636,4721,4857,4881,4917,4988,5030,5944,6098,6245,6521,6626"
dnsext,8,"3597,3833,4033,4470,4955,5155,5625,5936"
fecframe,4,"6015,6363,6816,6865"
2000,1,2626
spwg,1,1281
opsec,4,"4778,6192,6274,7707"
pint,3,"2458,2848,3055"
imm,1,1614
acct,1,1272
issll,8,"2381,2382,2688,2689,2815,2816,2998,3175"
harts,1,2150
spki,1,2693
iafa,1,1635
detnet,4,"8578,8655,8938,8964"
v6ops,21,"3796,4029,4215,4779,4942,5181,5375,6036,6169,6312,6342,6459,6589,6782,6883,7066,7269,7381,8305,8475,8683"
sipbrandy,1,8862
capwap,5,"4118,4565,5415,5416,5418"
ipp,6,"2566,2567,2639,2911,3196,3996"
mipshop,6,"4866,5164,5271,5380,5677,6058"
rtfm,7,"2063,2064,2123,2720,2721,2722,2724"
kitten,5,"4768,5653,6331,6616,8353"
bliss,1,6910
ipngwg,5,"1883,1970,2292,2460,2461"
bgp,1,1322
ippcp,1,2393
netext,7,"6279,6463,6572,6909,7148,7458,7561"
uswg,2,"1594,2664"
dhc,14,"2131,2563,3004,3315,3396,3993,4477,4580,5107,6977,7031,7653,7724,8415"
enum,8,"4002,4355,4415,5067,5278,5483,6116,6117"
forces,8,"3654,5810,5812,6041,6053,6984,7121,7409"
nvo3,4,"7364,7365,8014,8926"
idpr,2,"1478,1479"
mixer,2,"2156,2162"
oauth,6,"6749,6819,7009,7519,8252,8628"
l1vpn,2,"4847,5253"
mediactrl,2,"6917,7058"
git,1,8875
noctools,1,1147
mif,3,"6418,6731,7556"
ipatm,1,1932
x400ops,2,"1465,1649"
calext,3,"7529,7953,8607"
mpls,38,"2702,3033,3210,3215,3443,3468,3469,3479,4090,4201,4206,4220,4377,4378,4379,4461,4687,5439,5712,5920,5921,5950,6371,6374,6435,6639,6974,7032,7190,7412,7438,8012,8029,8169,8256,8372,8577,8662"
cdni,4,"6707,7336,7337,7937"
fax,5,"2305,3297,3965,4141,4143"
snanau,1,2456
webpush,1,8030
sigtran,4,"2960,3332,3868,4666"
tcpm,17,"4653,5682,5961,6069,6582,6675,6691,6928,6937,7323,7413,7560,7661,8257,8803,8961,8985"
rmonmib,13,"1271,1757,2021,2819,2896,3273,3287,3395,3729,4149,4150,4502,4712"
trade,4,"2801,2802,3867,4112"
emu,6,"5216,5433,6677,6678,7029,7170"
opsawg,16,"5343,5676,5706,6340,6632,7424,7547,7548,7630,7666,7860,8309,8512,8520,8886,8907"
speermint,3,"5344,6271,6404"
isis,6,"3277,3719,4205,5307,5310,7813"
l2sm,1,8466
diffserv,7,"2475,3086,3246,3247,3289,3290,3317"
smime,7,"2633,3125,3851,4262,5035,5126,5751"
osids,1,1274
lmap,1,7594
newtrk,1,4450
dane,1,7671
6renum,1,7010
msec,7,"3740,3830,4046,4359,4650,5776,6054"
ifmib,2,"1623,1650"
impp,1,2779
dmm,3,"7333,7429,8371"
l2tpext,4,"3145,3193,3573,4045"
dmarc,2,"7960,8601"
ntp,2,"5905,8877"
cose,2,"8152,8778"
nasreq,4,"2058,2881,2882,3169"
isn,4,"1578,1709,1746,1941"
nfsv4,18,"2624,3010,3530,5531,5661,5664,5666,7204,7530,7532,7861,7862,7931,8000,8167,8434,8587,8881"
cip,1,1190
kink,1,4430
calsch,2,"2445,2446"
clue,3,"7262,8845,8847"
tls,15,"3546,3749,4279,4366,4492,5246,5746,6066,6347,6961,7507,7685,7919,8446,8449"
ldapbis,4,"3383,4511,4513,4515"
IESG,2,"1380,1603"
ieprep,4,"3689,3690,4190,4375"
sacm,3,"7632,8248,8412"
idmr,3,"2117,2362,3376"
magma,1,3810
lisp,2,"7215,7955"
snmpconf,1,3512
sipcore,4,"6086,6665,8599,8898"
dots,3,"8612,8783,8811"
snmpsec,2,"1352,1446"
tokbind,1,8473
behave,6,"4787,5389,5597,6145,6888,7050"
rreq,2,"1716,1812"
usefor,1,5536
quic,3,"9000,9001,9002"
rserpool,4,"5351,5352,5353,5355"
ltans,2,"4998,5276"
speechsc,2,"4313,6787"
fddimib,1,1512
core,4,"7252,7390,8516,8613"
isms,5,"5590,5591,5592,5608,6065"
idwg,2,"4765,4766"
anima,5,"8368,8990,8993,8994,8995"
policy,2,"3060,3198"
seamoby,4,"3374,3753,4066,4067"
ccamp,28,"3471,3945,4139,4203,4204,4257,4258,4426,4428,4652,4974,5073,5152,5212,5339,5787,5814,6001,6003,6163,6566,6777,6780,6827,7138,7446,7579,7698"
avt,26,"2190,3189,3550,3611,3984,4103,4352,4396,4425,4588,4598,4695,4734,4749,5104,5109,5124,5285,5450,5506,5584,5764,5968,6184,6185,6285"
multi6,2,"4177,4218"
shim6,2,"5533,5535"
radius,11,"2059,2138,2548,2620,2621,2809,2865,2866,2867,2868,2869"
iasa2,2,"8711,8712"
notary,1,1892
822ext,5,"1341,1345,1521,2048,2049"
codec,5,"6366,6569,6716,7845,8486"
spirits,2,"2995,3910"
problem,1,3774
rmt,7,"2887,3738,3940,3941,4654,5401,5740"
aft,1,1961
tsvwg,29,"3042,3448,3517,3708,3758,4015,4782,4804,4860,4895,4923,4960,5865,5945,6016,6040,6056,6401,6951,7141,7417,7857,8085,8086,8260,8540,8680,8681,8899"
pkix,16,"2527,2560,2875,3628,3647,3820,4158,4211,4325,4387,4683,5280,5636,6664,6844,6960"
svrloc,1,2165
teas,6,"8283,8390,8413,8426,8735,8795"
idnabis,2,"5890,5892"
jose,1,7518
drums,2,"2821,2822"
mext,5,"5555,5637,5846,6275,6618"
gsmp,2,"3292,3295"
eai,2,"4952,6530"
mboned,6,"2588,3170,4609,5790,8313,8487"
sidrops,4,"8634,8635,8893,8897"
p2psip,2,"6940,7363"
netmod,9,"6020,6110,6244,6643,7224,7950,7951,7952,8528"
savi,4,"6620,6959,7039,8074"
bfcpbis,1,8855
dice,1,7925
simple,2,"4660,4975"
jmap,3,"8620,8621,9007"
conex,3,"7713,7778,7786"
applmib,1,2594
html,2,"1867,1942"
scim,3,"7642,7643,7644"
pki4ipsec,1,4945
rdbmsmib,1,1697
ssh,2,"2196,2504"
cuss,1,7434
madman,2,"2249,2789"
dns,2,"1537,1794"
precis,7,"6885,7564,7613,7700,8264,8265,8266"
bfd,1,5880
dccp,6,"4336,4342,4828,5348,5622,5634"
qosr,1,2386
insipid,3,"7989,8123,8497"
ipcdn,2,"4546,4682"
krb-wg,6,"4120,4556,6111,6113,6560,6806"
roamops,5,"2194,2477,2486,2607,3017"
acme,5,"8555,8657,8737,8739,8823"
cidrd,1,2008
tzdist,1,7808
adslmib,3,"4706,5650,6765"
avtcore,14,"6263,6284,6679,6792,7164,7272,7273,7667,7983,8083,8108,8285,8872,8888"
rddp,4,"4297,5042,5043,5044"
alto,2,"5693,7971"
netconf,11,"4741,5277,5539,6241,6242,6536,7589,8040,8341,8572,8641"
dprive,4,"7626,8094,8310,8932"
lpwan,1,8376
ion,1,2843
stir,4,"7340,7375,8224,8588"
cbor,1,8949
provreg,1,3730
homenet,3,"7368,7695,7787"
doh,1,8484
dnsind,3,"2181,2308,2671"
opes,4,"3752,3837,3897,4037"
ltru,2,"4646,5646"
dime,28,"5447,5624,5729,5777,5778,5779,5866,6408,6733,6734,6735,6736,6738,6942,7068,7075,7155,7156,7423,7660,7678,7683,7944,7966,8506,8581,8582,8583"
ippm,25,"2330,2679,2680,2681,3357,3432,4656,5136,5357,5481,5644,6049,6248,6349,6576,6703,6808,7290,7312,7679,7680,8250,8321,8337,8889"
dnssec,2,"2065,2535"
bess,8,"7543,7740,7899,7900,8534,8584,9014,9026"
spfbis,1,7208
webdav,4,"3744,4331,4437,4918"
st2,1,1819
httpauth,4,"7486,7617,7804,8120"
appleip,1,1742
pce,23,"4655,4657,4927,5394,5440,5441,5455,5521,5541,5623,5862,5886,6123,6457,7025,7334,7399,8051,8282,8664,8685,8800,9005"
lemonade,8,"4416,4468,5092,5383,5423,5442,5550,5551"
