Author,RFC_Match_Count
L.L. Garlick,1
J. Postel,2
B.M. Leiner,1
K.R. Sollins,1
J. Linn,1
S.T. Kent,1
D. Estrin,1
D. Johnson,1
C. Kaufman,1
C. Malamud,1
M. Rose,1
C. Anderson,1
S. Bellovin,1
B. Fraser,1
D. Wing,2
H. Ohno,2
J. Murai,2
K. Toyoda,2
C. Alaettinoglu,1
C. Villamizar,1
D. Meyer,1
S. Murphy,1
R. Shirey,2
P. Srisuresh,1
B. de Bruijn,1
C. de Laat,1
D. Spence,1
G. Gross,1
J. Vollbrecht,1
L. Gommans,1
M. Holdrege,1
P. Calhoun,1
S. Farrell,2
T. Killalea,1
A. Cormack,1
J. Arvidsson,1
J. Meijer,1
Y. Demchenko,1
A. B. Roach,1
G. Camarillo,1
J. Peterson,4
L. Ong,2
C. Merrill,1
R. Sabett,1
S. Chokhani,1
S. Wu,1
W. Ford,1
D. Mulligan,1
J. Morris,2
M. Danley,1
IAB Advisory Committee,1
M. Brunner,1
G. Jones,1
G. Marshall,1
B. Wijnen,1
R. Austein,1
IAB and IESG,1
S. Hollenbeck,1
D. Brungard,1
D. Papadimitriou,2
D. Ward,1
J. Sadler,1
S. Shew,1
J. Fenton,1
Internet Architecture Board,1
L. Daigle,2
B. Aboba,4
R. Housley,5
RFC Editor,1
M. Thomas,1
C. Hutzler,1
D. Crocker,4
E. Allman,1
P. Resnick,1
T. Finch,1
L. Dondeti,1
A. Melnikov,1
D. Cridland,1
S. Maes,1
P. Hallam-Baker,2
T. Hansen,2
H. Park,1
J. Lee,1
S. Kent,1
S. Park,1
Y. Won,1
E. Siegel,1
B. Briscoe,2
M. Scharf,1
M. Welzl,1
H. Weiss,1
P. Lovell,1
S. Symington,1
A. Cooper,1
H. Tschofenig,2
M. Hansen,1
R. Smith,1
H. Schulzrinne,1
E. Vyncke,1
K. Chittimaneni,1
L. Howard,1
T. Chown,2
V. Kuarsingh,1
Y. Pouffary,1
O. Kolkman,2
K. Wierenga,1
S. Winter,1
T. Wolniewicz,1
F. Gont,1
M. Mathis,1
CJ. Bernardos,1
D. Kutscher,1
F. Mir,1
R. Winter,1
S. Krishnan,1
Y. Zhang,1
M. Kuehlewind,1
R. Scheffenegger,1
D. Conrad,1
G. Huston,1
L. Iannone,1
R. Jorgensen,1
E. Lear,2
J. Wold,1
J. Yi,1
T. Clausen,1
U. Herberg,1
C. Jacquenet,1
D. Lopez,1
J. Jeong,1
M. Zarny,1
R. Kumar,1
S. Hares,1
C. Cath,1
N. ten Oever,1
C. Newman,1
K. Moore,1
J. Klensin,1
D. Romascanu,1
R. Droms,1
B. Haberman,1
J. Hall,1
J. Livingood,1
A. Mankin,1
B. Overeinder,1
R. van Rijswijk-Deij,1
S. Dickinson,1
