Working_Group,RFC_Match_Count,Matched_RFC_IDs
nsis,1,3726
geopriv,1,3694
ssh,1,2196
opsawg,1,8520
ccamp,2,"4258,4652"
stir,1,7375
ianaplan,1,7979
conex,3,"7713,7778,7786"
iasa2,1,8711
v6ops,1,7381
uta,1,8314
sipping,1,3578
fax,2,"2305,3965"
rps,1,2725
NON WORKING GROUP,7,"3871,4071,4962,5068,5111,5598,8107"
ucp,1,1297
grip,1,3013
opsec,1,7707
dprive,1,8932
lemonade,1,5550
dkim,4,"4686,5016,5585,5863"
ecrit,1,7378
cat,1,1507
lisp,1,7955
i2nsf,1,8192
pkix,2,"3647,5636"
manet,1,8116
