RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
733,Standard for the format of ARPA network text messages,"D. Crocker, J. Vittal, K.T. Pogran, D.A. Henderson",November 1977,UNKNOWN,Legacy,,
822,STANDARD FOR THE FORMAT OF ARPA INTERNET TEXT MESSAGES,D. Crocker,August 1982,INTERNET STANDARD,Legacy,,
1017,Network requirements for scientific research: Internet task force on scientific computing,B.M. Leiner,August 1987,UNKNOWN,Legacy,,
1192,Commercialization of the Internet summary report,B. Kahin,November 1990,INFORMATIONAL,Legacy,,
1244,Site Security Handbook,"J.P. Holbrook, J.K. Reynolds",July 1991,INFORMATIONAL,Legacy,,
1272,Internet Accounting: Background,"C. Mills, D. Hirsh, G.R. Ruth",November 1991,INFORMATIONAL,IETF,,acct
1281,Guidelines for the Secure Operation of the Internet,"R. Pethia, S. Crocker, B. Fraser",November 1991,INFORMATIONAL,IETF,sec,spwg
1507,DASS - Distributed Authentication Security Service,C. Kaufman,September 1993,EXPERIMENTAL,IETF,sec,cat
1945,Hypertext Transfer Protocol -- HTTP/1.0,"T. Berners-Lee, R. Fielding, H. Frystyk",May 1996,INFORMATIONAL,IETF,app,http
2063,Traffic Flow Measurement:  Architecture,"N. Brownlee, C. Mills, G. Ruth",January 1997,EXPERIMENTAL,IETF,tsv,rtfm
2064,Traffic Flow Measurement:  Meter MIB,N. Brownlee,January 1997,EXPERIMENTAL,IETF,tsv,rtfm
2068,Hypertext Transfer Protocol -- HTTP/1.1,"R. Fielding, J. Gettys, J. Mogul, H. Frystyk, T. Berners-Lee",January 1997,PROPOSED STANDARD,IETF,app,http
2310,The Safe Response Header Field,K. Holtman,April 1998,EXPERIMENTAL,IETF,app,http
2504,Users\' Security Handbook,"E. Guttman, L. Leong, G. Malkin",February 1999,INFORMATIONAL,IETF,,ssh
2527,Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework,"S. Chokhani, W. Ford",March 1999,INFORMATIONAL,IETF,sec,pkix
2616,Hypertext Transfer Protocol -- HTTP/1.1,"R. Fielding, J. Gettys, J. Mogul, H. Frystyk, L. Masinter, P. Leach, T. Berners-Lee",June 1999,DRAFT STANDARD,IETF,app,http
2720,Traffic Flow Measurement: Meter MIB,N. Brownlee,October 1999,PROPOSED STANDARD,IETF,tsv,rtfm
2828,Internet Security Glossary,R. Shirey,May 2000,INFORMATIONAL,Legacy,,
2970,Architecture for Integrated Directory Services - Result from TISDAG,"L. Daigle, T. Eklof",October 2000,INFORMATIONAL,IETF,,NON WORKING GROUP
3086,Definition of Differentiated Services Per Domain Behaviors and Rules for their Specification,"K. Nichols, B. Carpenter",April 2001,INFORMATIONAL,IETF,tsv,diffserv
3323,A Privacy Mechanism for the Session Initiation Protocol (SIP),J. Peterson,November 2002,PROPOSED STANDARD,IETF,rai,sip
3628,Policy Requirements for Time-Stamping Authorities (TSAs),"D. Pinkas, N. Pope, J. Ross",November 2003,INFORMATIONAL,IETF,sec,pkix
3694,Threat Analysis of the Geopriv Protocol,"M. Danley, D. Mulligan, J. Morris, J. Peterson",February 2004,INFORMATIONAL,IETF,rai,geopriv
3716,IETF in the Large:  Administration and Execution,IAB Advisory Committee,March 2004,HISTORIC,IAB,,
3774,IETF Problem Statement,E. Davies,May 2004,INFORMATIONAL,IETF,gen,problem
4071,Structure of the IETF Administrative Support Activity (IASA),"R. Austein, B. Wijnen",April 2005,BEST CURRENT PRACTICE,IETF,,NON WORKING GROUP
4089,IAB and IESG Recommendation for IETF Administrative Restructuring,"S. Hollenbeck, IAB and IESG",May 2005,INFORMATIONAL,IAB,,
4141,SMTP and MIME Extensions for Content Conversion,"K. Toyoda, D. Crocker",November 2005,PROPOSED STANDARD,IETF,app,fax
4333,The IETF Administrative Oversight Committee (IAOC) Member Selection Guidelines and Process,"G. Huston, B. Wijnen",December 2005,BEST CURRENT PRACTICE,IAB,,
4474,Enhancements for Authenticated Identity Management in the Session Initiation Protocol (SIP),"J. Peterson, C. Jennings",August 2006,PROPOSED STANDARD,IETF,rai,sip
4651,A Taxonomy and Analysis of Enhancements to Mobile IPv6 Route Optimization,"C. Vogt, J. Arkko",February 2007,INFORMATIONAL,IRTF,,
4686,Analysis of Threats Motivating DomainKeys Identified Mail (DKIM),J. Fenton,September 2006,INFORMATIONAL,IETF,sec,dkim
4949,"Internet Security Glossary, Version 2",R. Shirey,August 2007,INFORMATIONAL,INDEPENDENT,,
5209,Network Endpoint Assessment (NEA): Overview and Requirements,"P. Sangster, H. Khosravi, M. Mani, K. Narayan, J. Tardo",June 2008,INFORMATIONAL,IETF,sec,nea
5226,Guidelines for Writing an IANA Considerations Section in RFCs,"T. Narten, H. Alvestrand",May 2008,BEST CURRENT PRACTICE,IETF,,NON WORKING GROUP
5228,Sieve: An Email Filtering Language,"P. Guenther, T. Showalter",January 2008,PROPOSED STANDARD,IETF,app,sieve
5290,Comments on the Usefulness of Simple Best-Effort Traffic,"S. Floyd, M. Allman",July 2008,INFORMATIONAL,INDEPENDENT,,
