Author,RFC_Match_Count
D. Crocker,6
D.A. Henderson,1
J. Vittal,1
K.T. Pogran,1
B.M. Leiner,1
B. Kahin,1
J.K. Reynolds,1
J.P. Holbrook,1
C. Mills,2
D. Hirsh,1
G.R. Ruth,1
B. Fraser,1
R. Pethia,1
S. Crocker,1
C. Kaufman,1
H. Frystyk,3
R. Fielding,4
T. Berners-Lee,3
G. Ruth,1
N. Brownlee,3
J. Gettys,2
J. Mogul,2
K. Holtman,1
E. Guttman,2
G. Malkin,1
L. Leong,1
S. Chokhani,1
W. Ford,1
L. Masinter,1
P. Leach,1
R. Shirey,2
L. Daigle,2
T. Eklof,1
B. Carpenter,1
K. Nichols,1
J. Peterson,4
D. Pinkas,1
J. Ross,1
N. Pope,1
D. Mulligan,1
J. Morris,1
M. Danley,1
IAB Advisory Committee,1
E. Davies,1
B. Wijnen,2
R. Austein,1
IAB and IESG,1
S. Hollenbeck,1
K. Toyoda,1
G. Huston,1
C. Jennings,2
C. Vogt,1
J. Arkko,1
J. Fenton,1
H. Khosravi,1
J. Tardo,1
K. Narayan,1
M. Mani,1
P. Sangster,1
H. Alvestrand,1
T. Narten,2
P. Guenther,1
T. Showalter,1
M. Allman,1
S. Floyd,1
M. Holdrege,1
M. Stillman,1
R. Gopal,1
S. Sengodan,1
A. Melnikov,1
B. Leiba,2
T. Martin,1
W. Segmuller,1
A. Hathcock,1
J. Levine,1
P. Hoffman,1
P. Hallam-Baker,1
T. Hansen,1
E. Ivov,1
E. Marocco,1
H. Schulzrinne,2
B. Briscoe,1
D. Papadimitriou,1
M. Scharf,1
M. Welzl,1
A. Cooper,1
IAB,1
J. Halpern,2
O. Kolkman,4
A. Wagner,1
B. Claise,1
B. Trammell,1
J. Reschke,1
B. Aboba,1
H. Tschofenig,1
R. Housley,5
N. Clark,1
P. Timmel,1
S. Turner,1
E. Lear,1
M. Cotton,1
C. Wendt,1
E. Rescorla,1
C. Cath,2
N. ten Oever,2
J. Klensin,2
M. Sethi,1
O. Garcia-Morchon,1
S. Kumar,1
B. Haberman,1
J. Hall,1
J. Livingood,1
R. Hinden,1
P. F\xc3\xa4ltstr\xc3\xb6m,1
I. Mart\xc3\xadnez-Sarriegui,1
J. Salvach\xc3\xbaa,1
J.J. Aranda,1
M. Cortes,1
M. Narganes,1
G. Grover,1
S. Sahib,1
