RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
33,New Host-Host Protocol,S.D. Crocker,February 1970,UNKNOWN,Legacy,,
75,Network Meeting,S.D. Crocker,October 1970,UNKNOWN,Legacy,,
77,Network meeting report,J. Postel,November 1970,UNKNOWN,Legacy,,
82,Network Meeting Notes,E. Meyer,December 1970,UNKNOWN,Legacy,,
100,Categorization and guide to NWG/RFCs,P.M. Karp,February 1971,UNKNOWN,Legacy,,
101,"Notes on the Network Working Group meeting, Urbana, Illinois, February 17, 1971",R.W. Watson,February 1971,UNKNOWN,Legacy,,
105,Network Specifications for Remote Job Entry and Remote Job Output Retrieval at UCSB,J.E. White,March 1971,UNKNOWN,Legacy,,
122,Network specifications for UCSB\'s Simple-Minded File System,J.E. White,April 1971,UNKNOWN,Legacy,,
129,Request for comments on socket name structure,"E. Harslem,E. Meyer,J. Heafner",April 1971,UNKNOWN,Legacy,,
136,Host accounting and administrative procedures,R.E. Kahn,April 1971,UNKNOWN,Legacy,,
147,Definition of a socket,J.M. Winett,May 1971,UNKNOWN,Legacy,,
150,Use of IPC Facilities: A Working Paper,R.B. Kalin,May 1971,UNKNOWN,Legacy,,
160,RFC brief list,Network Information Center. Stanford Research Institute,May 1971,UNKNOWN,Legacy,,
164,"Minutes of Network Working Group meeting, 5/16 through 5/19/71",J.F. Heafner,May 1971,UNKNOWN,Legacy,,
167,Socket conventions reconsidered,"A.K. Bhushan,J.M. Winett,R.M. Metcalfe",May 1971,UNKNOWN,Legacy,,
170,RFC List by Number,Network Information Center. Stanford Research Institute,June 1971,UNKNOWN,Legacy,,
187,Network/440 Protocol Concept,"D.B. McKay,D.P. Karp",July 1971,UNKNOWN,Legacy,,
189,Interim NETRJS specifications,R.T. Braden,July 1971,UNKNOWN,Legacy,,
200,RFC list by number,J.B. North,August 1971,UNKNOWN,Legacy,,
216,Telnet Access to UCSB\'s On-Line System,J.E. White,September 1971,UNKNOWN,Legacy,,
231,Service center standards for remote usage: A user\'s view,"E. Harslem,J.F. Heafner",September 1971,UNKNOWN,Legacy,,
333,Proposed experiment with a Message Switching Protocol,"D. Murphy,D.C. Walden,R.D. Bressler",May 1972,UNKNOWN,Legacy,,
385,Comments on the File Transfer Protocol,A.K. Bhushan,August 1972,UNKNOWN,Legacy,,
392,Measurement of host costs for transmitting network data,"B.D. Wessler,G. Hicks",September 1972,UNKNOWN,Legacy,,
399,SMFS Login and Logout,M. Krilanovich,September 1972,UNKNOWN,Legacy,,
409,Tenex interface to UCSB\'s Simple-Minded File System,J.E. White,December 1972,UNKNOWN,Legacy,,
431,Update on SMFS Login and Logout,M. Krilanovich,December 1972,UNKNOWN,Legacy,,
436,Announcement of RJS at UCSB,M. Krilanovich,January 1973,UNKNOWN,Legacy,,
437,Data Reconfiguration Service at UCSB,E. Faeh,June 1973,UNKNOWN,Legacy,,
451,Tentative proposal for a Unified User Level Protocol,M.A. Padlipsky,February 1973,UNKNOWN,Legacy,,
454,File Transfer Protocol - meeting announcement and a new proposed document,A.M. McKenzie,February 1973,UNKNOWN,Legacy,,
471,Workshop on multi-site executive programs,R. Thomas,March 1973,UNKNOWN,Legacy,,
477,Remote Job Service at UCSB,M. Krilanovich,May 1973,UNKNOWN,Legacy,,
487,Free file transfer,R.D. Bressler,April 1973,UNKNOWN,Legacy,,
491,"What is ""Free""?",M.A. Padlipsky,April 1973,UNKNOWN,Legacy,,
499,Harvard\'s network RJE,B.R. Reussow,April 1973,UNKNOWN,Legacy,,
501,"Un-muddling ""free file transfer""",K.T. Pogran,May 1973,UNKNOWN,Legacy,,
504,Distributed resources workshop announcement,R. Thomas,April 1973,UNKNOWN,Legacy,,
524,Proposed Mail Protocol,J.E. White,June 1973,UNKNOWN,Legacy,,
525,MIT-MATHLAB meets UCSB-OLS -an example of resource sharing,"J.R. Pickens,W. Parrish",June 1973,UNKNOWN,Legacy,,
532,UCSD-CC Server-FTP facility,R.G. Merryman,July 1973,UNKNOWN,Legacy,,
542,File Transfer Protocol,N. Neigus,August 1973,UNKNOWN,Legacy,,
555,Responses to critiques of the proposed mail protocol,J.E. White,July 1973,UNKNOWN,Legacy,,
585,ARPANET users interest working group meeting,"D. Crocker,E.J. Feinler,J. Iseli,N. Neigus",November 1973,UNKNOWN,Legacy,,
592,Some thoughts on system design to facilitate resource sharing,R.W. Watson,November 1973,UNKNOWN,Legacy,,
599,Update on NETRJS,R.T. Braden,December 1973,UNKNOWN,Legacy,,
610,Further datalanguage design concepts,"J. Hill,R. Winter,W. Greiff",December 1973,UNKNOWN,Legacy,,
615,Proposed Network Standard Data Pathname syntax,D. Crocker,March 1974,UNKNOWN,Legacy,,
617,Note on socket number assignment,E.A. Taft,February 1974,UNKNOWN,Legacy,,
640,Revised FTP reply codes,J. Postel,June 1974,UNKNOWN,Legacy,,
661,Protocol information,J. Postel,November 1974,UNKNOWN,Legacy,,
666,Specification of the Unified User-Level Protocol,M.A. Padlipsky,November 1974,UNKNOWN,Legacy,,
672,Multi-site data collection facility,R. Schantz,December 1974,UNKNOWN,Legacy,,
674,Procedure call documents: Version 2,"J. Postel,J.E. White",December 1974,UNKNOWN,Legacy,,
677,Maintenance of duplicate databases,"P.R. Johnson,R. Thomas",January 1975,UNKNOWN,Legacy,,
681,Network UNIX,S. Holmgren,March 1975,UNKNOWN,Legacy,,
684,Commentary on procedure calling as a network protocol,R. Schantz,April 1975,UNKNOWN,Legacy,,
694,Protocol information,J. Postel,June 1975,UNKNOWN,Legacy,,
696,Comments on the IMP/Host and Host/IMP Protocol changes,V.G. Cerf,July 1975,UNKNOWN,Legacy,,
