Author,RFC_Match_Count
S.D. Crocker,2
J. Postel,40
E. Meyer,2
P.M. Karp,1
R.W. Watson,2
J.E. White,7
E. Harslem,2
J. Heafner,1
R.E. Kahn,1
J.M. Winett,2
R.B. Kalin,1
Network Information Center. Stanford Research Institute,2
J.F. Heafner,2
A.K. Bhushan,2
R.M. Metcalfe,1
D.B. McKay,1
D.P. Karp,1
R.T. Braden,5
J.B. North,1
D. Murphy,1
D.C. Walden,1
R.D. Bressler,2
B.D. Wessler,1
G. Hicks,1
M. Krilanovich,4
E. Faeh,1
M.A. Padlipsky,6
A.M. McKenzie,1
R. Thomas,3
B.R. Reussow,1
K.T. Pogran,1
J.R. Pickens,1
W. Parrish,1
R.G. Merryman,1
N. Neigus,2
D. Crocker,2
E.J. Feinler,1
J. Iseli,1
J. Hill,1
R. Winter,4
W. Greiff,1
E.A. Taft,1
R. Schantz,2
P.R. Johnson,1
S. Holmgren,1
V.G. Cerf,2
J. Vernon,1
G.R. Grossman,1
J.D. Day,1
R. Hinden,3
J.K. Reynolds,13
International Organization for Standardization,2
ISO,1
M. Lottor,1
J. Reynolds,14
National Science Foundation,1
Network Technical Advisory Group,1
B.M. Leiner,3
M.L. Lambert,1
D.R. Cheriton,1
A.L. DeSchon,2
L. Besaw,1
U.S. Warrier,1
D.D. Clark,1
H.W. Braun,1
K.R. Sollins,1
J. Linn,1
S.T. Kent,1
D. Estrin,2
M. Little,1
R.H. Stine,1
A. Westine,1
C.E. Ward,1
A. Yuan,1
K. Roubicek,1
K.L. Bowers,1
M.K. Stahl,1
T.L. LaQuey,1
C.J. Kale,1
T.J. Socolofsky,1
C. Topolcic,1
B. Kahin,1
J.P. Holbrook,1
M. Kapor,1
C. Mills,3
D. Hirsh,1
G.R. Ruth,1
B. Fraser,2
R. Pethia,1
S. Crocker,2
D. Clark,3
L. Chapin,1
R. Braden,12
R. Hobby,1
V. Cerf,2
M. Kennedy,1
A. Nicholson,2
J. Young,1
S. Hotz,1
Y. Rekhter,3
W. Simpson,7
P. Jones,1
A. Malis,3
D. Robinson,3
R. Ullmann,1
J. Renwick,2
P. Almquist,2
P. Gross,1
G. Malkin,4
J. Elliott,3
T. Dixon,1
E. Gerich,1
R. Enger,1
M. Steenstrup,1
C. Malamud,2
M. Rose,2
J. Saltzer,1
C. Neuman,2
J. Kohl,1
D. Piscitello,2
A. Mankin,3
S. Bradner,3
T. Brown,2
E. Huizer,3
J. Romaguera,1
RARE WG-MSG Task Force 88,1
S. Shenker,2
C. Huitema,2
A. Hansen,1
R. Hagens,1
B. Carpenter,9
N. Brownlee,11
M. Taylor,1
S. Bellovin,2
E. Britton,1
J. Tavs,1
M. Vecchi,1
J. Foster,1
A. Romao,1
F. Kastenholz,3
IETF Secretariat,1
C. Partridge,2
K. Frisa,1
S. Waldbusser,2
N. Chiappa,1
