Working_Group,RFC_Match_Count,Matched_RFC_IDs
ipcdn,1,4682
dmm,1,8371
xmldsig,1,3076
cdi,2,"3466,3570"
run,1,2635
applmib,1,2594
adslmib,1,6765
16ng,2,"5121,5692"
v6ops,10,"3796,4029,4779,5181,6036,6312,6342,6459,7269,7381"
roamops,4,"2194,2477,2486,2607"
ipv6,1,3769
radius,11,"2059,2138,2548,2620,2621,2809,2865,2866,2867,2868,2869"
speechsc,2,"4313,6787"
grow,1,7789
policy,2,"3060,3198"
l3vpn,4,"4031,4110,4176,4365"
find,1,2654
pppext,4,"1331,1549,1662,2661"
shim6,1,5533
roll,2,"5867,6550"
idmr,1,3376
ipsra,1,3457
l3sm,1,8049
ace,1,7744
madman,2,"2249,2789"
bgp,1,1322
nat,1,3103
rmcat,1,8869
netlmm,2,"5213,6097"
rap,9,"2748,2750,2753,2940,3084,3318,3483,3521,3571"
radext,29,"4282,4372,4590,4670,4671,4672,4673,4675,4818,4849,5080,5090,5176,5607,5997,6158,6421,6613,6614,6911,6929,7268,7360,7499,7542,7585,7930,8045,8559"
netmod,1,7224
netext,5,"6463,6572,6909,7458,7561"
tewg,4,"3272,4105,4124,4216"
mext,2,"5637,5846"
dccp,1,4828
opsawg,7,"5706,6632,7424,8309,8520,8886,8907"
intserv,3,"2210,2211,2212"
xmpp,1,6120
noctool2,1,1470
x400ops,1,1649
ssh,2,"2196,2504"
nvo3,1,8014
l2vpn,2,"4665,6136"
ospf,1,2676
NON WORKING GROUP,45,"2834,2849,2970,3435,3439,3575,3871,3929,4017,4071,4152,4186,4187,4284,4739,4746,4851,4962,5106,5116,5210,5224,5226,5281,5431,5448,5503,5515,5807,5873,5887,5931,6043,6127,6150,6272,6467,6867,7270,7491,7791,8011,8158,8299,8404"
eap,4,"3748,4137,5113,5247"
detnet,1,8578
sfc,2,"8300,8979"
i2rs,3,"7921,7922,8241"
printmib,2,"2707,2708"
pier,1,2072
conex,3,"7713,7778,7786"
ecrit,3,"5069,7378,7406"
nemo,1,4888
mpls,16,"2702,3479,4201,4220,4377,4378,4687,5712,5920,5921,5950,6374,6639,8256,8372,8577"
hubmib,1,5066
mobileip,5,"2002,2977,3220,3344,3543"
mipshop,5,"5164,5271,5380,5677,6058"
acct,1,1272
anima,2,"8993,8994"
storm,1,6581
speermint,1,6271
cat,1,1510
appleip,1,1742
ips,1,4044
atommib,2,"2512,2513"
pwe3,3,"5254,5659,6310"
ipp,3,"2566,2567,2911"
tcpm,2,"6937,7323"
idpr,1,1478
abfab,5,"7055,7056,7831,7832,7833"
cip,1,1190
mailext,1,1844
krb-wg,1,4120
enum,1,5067
nir,1,1689
sip,2,"3323,5627"
forces,4,"3654,5810,5812,6041"
l1vpn,2,"4847,5253"
cdni,3,"7336,7337,7937"
bmwg,1,6645
i2nsf,2,"8192,8329"
rreq,2,"1716,1812"
ipfc,1,2837
spwg,1,1281
iplpdn,1,1356
snanau,1,2456
geopriv,3,"3693,5580,6155"
weirds,1,7480
nfsv4,9,"3010,3530,5661,5664,5666,7530,7862,8167,8881"
ancp,5,"5713,5851,6320,6934,7256"
aaa,11,"2924,2975,2989,3127,3539,3588,4004,4005,4006,4072,4740"
softwire,12,"4925,5571,5619,5969,6519,6674,6908,6930,7597,7598,7599,8658"
snmpconf,1,3512
capwap,4,"4565,5415,5416,5418"
savi,1,6959
ngtrans,1,3053
ieprep,3,"3689,3690,4375"
opes,3,"3752,3837,3897"
rtfm,7,"2063,2064,2123,2720,2721,2722,2724"
tsvwg,6,"3042,3708,3758,4923,5865,5945"
ippm,8,"2679,2680,2681,3432,5481,7679,7680,8321"
opsec,2,"4778,6192"
trill,1,7174
dice,1,7925
rddp,1,4297
pce,6,"4655,4657,5394,5441,6123,9005"
diffserv,4,"2475,3289,3290,3317"
megaco,1,2805
pint,1,2848
webpush,1,8030
spring,1,7855
issll,2,"2382,2998"
pim,2,"5015,6807"
pilc,1,3819
rsvp,2,"2205,2208"
ipfix,12,"3917,3955,5470,5472,5655,5982,6183,6235,6728,7014,7015,7119"
IESG,1,1380
ipsecme,5,"5685,5879,5996,5998,7296"
idr,1,7752
midcom,1,4097
l2tpext,2,"3145,3573"
manet,4,"2501,6622,7182,8116"
karp,1,7211
trade,1,2801
seamoby,2,"3374,4067"
isms,5,"5590,5591,5592,5608,6065"
ppsp,2,"7574,7846"
pcp,2,"7652,7843"
iasa2,1,8711
ids,2,"2116,2378"
emu,6,"5216,5433,6677,6678,7029,7170"
rmonmib,2,"2896,4149"
magma,1,3810
psamp,1,5475
2000,1,2626
userdoc,1,1175
pmtud,1,4821
lpwan,1,8376
nsis,9,"3583,3726,4080,4081,4230,5973,5974,5975,5977"
frnetmib,2,"1596,2954"
mboned,3,"2588,3170,8313"
mip4,12,"3846,3957,4433,4721,4857,4881,4988,5030,5944,6098,6245,6521"
avt,2,"3611,4396"
sipping,6,"3702,4083,4484,5850,5897,6035"
noctools,1,1147
webdav,1,4331
ipo,1,3717
l2sm,1,8466
dime,28,"5447,5624,5729,5777,5778,5779,5866,6408,6733,6734,6735,6736,6738,6942,7068,7075,7155,7156,7423,7660,7678,7683,7944,7966,8506,8581,8582,8583"
rserpool,1,5351
lemonade,1,5423
stir,1,7340
netconf,3,"5539,6241,7589"
ccamp,7,"3945,4139,4258,4652,5787,6003,6827"
pana,3,"4058,5191,5193"
kink,1,4430
hokey,8,"5169,5296,5749,5836,6440,6630,6696,6697"
pcn,1,5559
harts,1,2150
decade,2,"6392,6646"
teas,1,8426
pkix,2,"2527,3820"
gsmp,2,"3292,3295"
svrloc,1,2165
nasreq,4,"2058,2881,2882,3169"
mip6,8,"4283,4285,4640,4877,5026,5419,6610,6611"
nea,1,6813
dnsop,1,8501
6tisch,1,7554
eman,2,"6988,7326"
dhc,5,"3004,3315,3993,4580,8415"
