Author,RFC_Match_Count
J. Postel,3
M.A. Padlipsky,2
J.K. Reynolds,1
M. Muuss,1
R.M. Hinden,1
National Research Council,2
W. McCoy,2
B.M. Leiner,1
V.G. Cerf,1
G. Malkin,2
B. Adamson,1
D. Woo,1
R. Langan,1
W. Polites,1
W. Wollman,1
J. Macker,1
S. Corson,1
J. Mogul,1
M. Manasse,1
S. Glassman,1
D. Awduche,4
J. Agogbua,1
J. Malcolm,1
J. McManus,1
M. O\'Dell,1
A. Keromytis,1
J. Ioannidis,1
M. Blaze,1
R. Shirey,2
A. Chiu,1
A. Elwalid,1
I. Widjaja,1
X. Xiao,1
J. Yoakum,1
L. Ong,1
A. Hannan,1
B. Christian,1
D. Cooper,1
J. Boyle,1
V. Gill,3
W.S. Lai,1
D. McDysan,1
W. Lai,2
F. Hellstrand,1
V. Sharma,2
B. Korver,1
E. Rescorla,1
F. Le Faucheur,1
B. Black,2
J. Abley,2
B. Rajagopalan,2
J. Luciani,1
B. Weis,1
T. Hardjono,1
E. Mannie,4
E. Davies,2
K. Lindqvist,1
G. Huston,1
J. Lang,3
A. Fredette,1
E. Gray,3
G. Bernstein,1
D. Brungard,2
D. Papadimitriou,5
J. Fenton,1
A. Farrel,4
M. Thomas,1
M. Kozuka,1
M. Tuexen,1
Q. Xie,1
R. Stewart,1
S. Maruyama,1
L. Andersson,6
S. Bryant,5
B. Niven-Jenkins,1
M. Betts,1
N. Sprecher,4
S. Ueno,2
D. Beller,1
A. Doria,1
F. Kastenholz,1
B. Carpenter,3
H. Flinck,1
R. Atkinson,1
B. Haberman,1
D. Mills,1
D. Frost,2
L. Berger,3
L. Levrau,1
M. Bocci,2
B. Briscoe,1
M. Scharf,1
M. Welzl,1
E. Fleischman,1
F. Templin,1
S. Russert,1
F. Gont,1
F. Baker,1
M. Wasserman,1
L. Fang,2
N. Bitar,2
D. Crocker,1
M. Kucherawy,1
T. Hansen,1
A. Fulignoli,1
E. Osborne,2
Y. Weingarten,3
D. Kaspar,1
E. Kim,1
JP. Vasseur,1
RJ Atkinson,1
SN Bhatti,1
B. Liu,2
S. Jiang,2
M. Daikoku,1
P. Pan,2
R. Zhang,1
B. Wu,1
D. Caviglia,1
D. Ceccarelli,4
F. Fondelli,1
M. Corsi,1
X. Dai,1
S. Venaas,1
W. George,1
D. Li,1
F. Zhang,1
H. Li,4
S. Belotti,2
H. van Helvoort,3
A. Takacs,2
D. Fedyk,1
J. He,1
A. D\'Alessandro,3
J. Ryoo,2
T. Cheung,1
A. Brandt,1
J. Arkko,1
J. Weil,1
O. Troan,1
T. Chown,1
G. Mirsky,3
S. Aldrin,1
D. Ward,2
E. Bellagamba,2
P. Skoldstrom,2
D. King,2
J. Drake,1
E. Lear,1
E. Zwicky,1
F. Martin,1
K. Andersen,1
T. Draegen,1
I. Minei,1
X. Zhang,1
J. Dong,3
L. Wang,3
S. Davari,1
W. Cheng,3
K. Arai,1
Y. Koike,1
Y. Lee,2
B. Yoon,1
D. Dhody,1
B. Varga,1
J. Farkas,1
N. Finn,1
P. Thubert,1
H. Zheng,1
