Working_Group,RFC_Match_Count,Matched_RFC_IDs
msec,1,3740
homenet,1,7368
mpls,16,"2702,3469,5654,5718,5921,6372,6378,6965,6974,7087,7167,7271,7412,7759,8227,8256"
NON WORKING GROUP,5,"3286,5317,5887,6296,7491"
ipo,1,3717
6renum,2,"6879,7010"
tsvwg,1,5061
ccamp,13,"3945,4204,4209,4257,4258,4426,4427,4428,4974,6373,7062,7260,7487"
detnet,1,8655
pce,2,"8051,8694"
pals,2,"8184,8185"
6lowpan,1,6568
dmarc,1,7960
teas,2,"8453,8454"
multi6,3,"3582,4116,4177"
dkim,3,"4686,5016,6376"
opsec,1,6274
ntp,1,5906
tewg,4,"3272,3346,3386,3564"
manet,1,2501
