Author,RFC_Match_Count
D.C. Walden,1
R. Thomas,3
V. Cerf,8
R.T. Braden,1
M.A. Padlipsky,6
B. Harvey,2
E. Mader,1
R.S. Tomlinson,1
W.W. Plummer,1
J.E. White,1
J.E. Donnelley,1
E.J. Feinler,1
J.E. Mathis,1
J.R. Pickens,1
D.P. Deutsch,1
M.R. Crispin,3
A.G. Malis,3
P.V. Mockapetris,2
J. Postel,6
J.K. Reynolds,3
M. Muuss,1
R.M. Hinden,1
D.L. Mills,5
P. Kirton,1
M. St. Johns,5
D.J. Farber,1
G. Delp,1
T.M. Conte,1
G.G. Finn,1
J. Lilienkamp,1
R. Mandell,1
S. Silverman,1
E.A. Stefferud,1
M.T. Rose,3
National Research Council,1
D.R. Cheriton,2
S.E. Deering,3
J. Linn,8
A. Khanna,1
B.M. Leiner,1
J. Rekhter,1
H.W. Braun,1
J. Reynolds,4
D.D. Clark,1
K.R. Sollins,1
S. Kent,26
S.T. Kent,1
E. Krol,1
D. Katz,11
S. Hares,10
D.J. Bernstein,1
R.H. Stine,1
J.C. Honig,1
J.Y. Yu,1
M. Mathis,9
Y. Rekhter,34
M. Recker,1
M.K. Stahl,1
S. Kirkpatrick,1
R.B. Fougner,1
C.J. Kale,1
T.J. Socolofsky,1
B. Kahin,1
J. Rice,1
B. Randell,1
P.T. Kirstein,1
V.G. Cerf,1
L. Steinberg,1
J.P. Holbrook,1
J. Moy,7
G. Malkin,7
B. Kantor,2
M. Kapor,1
B. Fraser,2
R. Pethia,1
S. Crocker,12
D. Clark,2
L. Chapin,2
R. Braden,6
R. Hobby,2
D. Mills,7
G. Arnold,1
R. Nelson,1
D. Reed,2
A. Marine,1
P. Kuehn,1
B. Lloyd,1
W. Simpson,10
J. Davin,4
J. Galvin,12
K. McCloghrie,35
ACM SIGUCCS,1
D. Borman,5
K. Alagappan,1
M. Rose,21
D. Balenson,1
B. Kaliski,8
J. Klensin,36
K. Moore,7
N. Freed,20
E. Huizer,3
S. Hardcastle-Kille,1
J. Case,18
S. Waldbusser,18
R. Housley,79
J. Oikarinen,1
A. Cooper,11
A. Costanzo,1
D. Robinson,3
R. Ullmann,1
J. Houttuin,2
C. Kaufman,6
C. Neuman,2
J. Kohl,1
C. Malamud,4
W. Wimer,1
S. Kille,5
G. Mansfield,1
S. Alexander,1
F. Kastenholz,7
J. Sellers,2
A. Sehgal,4
B. Wijnen,20
G. Carpenter,1
G. Waters,2
K. Curran,1
K. Tesink,3
T. Brown,4
C. Huitema,13
Internet Architecture Board,7
Internet Engineering Steering Group,1
J. Saperia,2
R. Austein,18
J. Romaguera,1
RARE WG-MSG Task Force 88,1
B. Braden,2
B. Stewart,7
D. Kostick,2
K. Shih,2
Z. Kielczewski,2
S. Bellovin,7
J. Foster,1
M. Ahmed,1
A. Daniel,1
B. Purvy,1
D. Brower,1
J. Smith,1
M. Sinykin,1
N. Haller,1
R. Atkinson,15
P. Almquist,1
IETF Secretariat,1
J. Kunze,5
E. Decker,3
F. Baker,34
D. Eastlake 3rd,67
J. Schiller,3
D. McDonald,4
A. Mankin,8
S. Bradner,19
D. Karrenberg,2
E. Gerich,1
J-M. Jouanigot,1
J. Yu,2
L. Joncheray,1
M. Terpstra,1
T. Bates,2
A. Rubin,1
B. Callaghan,4
B. Pawlowski,1
P. Staubach,1
B. Davie,8
E. Crawley,1
M. Borden,1
S. Batsell,1
H. Danisch,1
S. Murphy,6
H. Spencer,1
C. Weider,1
J. Romkey,1
K. Sollins,2
M. McCahill,1
M. Schwartz,1
T. Verschuren,1
C. Hage,1
J. Griffin,1
W. Houser,1
N. Berge,1
B. Boesch,2
M. Yesil,1
M. Chatel,1
J. Robichaux,1
H. Frystyk,3
R. Fielding,12
T. Berners-Lee,4
A. Ballardie,1
E. Nordmark,17
T. Narten,20
IAB,12
IESG,1
D. Atkins,3
P. Zimmermann,2
W. Stallings,1
I. Castineyra,1
M. Steenstrup,1
N. Chiappa,1
C. Perkins,43
G. Armitage,5
C. Adams,13
R. Hovey,1
N. Borenstein,6
A. Rubens,4
C. Rigney,2
S. Willens,2
