Working_Group,RFC_Match_Count,Matched_RFC_IDs
wrec,1,3040
ipr,4,"4748,4879,5377,5378"
poised95,4,"2026,2027,2028,2031"
cat,10,"1507,1508,1510,2025,2078,2479,2743,2744,2847,2853"
speermint,6,"5344,5486,6271,6404,6405,6406"
acme,6,"8555,8657,8737,8738,8739,8823"
snmpv3,15,"2261,2262,2263,2264,2265,2571,2572,2573,2574,2575,3411,3412,3413,3414,3415"
httpstate,1,6265
msec,16,"3547,3740,3830,4046,4082,4359,4534,4535,4563,4650,4738,5197,5374,5776,6054,6407"
lager,1,7940
cellar,1,8794
pint,1,2848
problem,1,3774
spirits,1,3298
sipclf,2,"6872,6873"
diffserv,4,"2474,3086,3289,3290"
pppext,5,"1334,1994,2661,2716,3336"
idwg,3,"4765,4766,4767"
i2rs,12,"7920,7921,7922,7923,8241,8242,8345,8346,8430,8431,8542,8944"
eppext,2,"7451,7848"
sigtran,3,"2719,3788,5133"
ftpext,2,"2577,3659"
ipcdn,5,"4131,4639,4682,5098,5428"
core,16,"6690,7252,7390,7641,7959,8075,8132,8323,8428,8516,8613,8710,8768,8790,8798,8974"
bier,5,"8279,8296,8401,8444,8556"
find,3,"2651,2652,2654"
tcpinc,2,"8547,8548"
anima,8,"8366,8368,8990,8991,8992,8993,8994,8995"
eman,7,"6933,6988,7326,7460,7461,7577,7603"
ipo,1,3717
softwire,33,"4925,5512,5543,5549,5565,5566,5571,5619,5640,5969,6333,6334,6519,6674,6908,6930,7040,7596,7597,7598,7599,7600,7856,7870,8026,8114,8115,8389,8513,8638,8658,8675,8676"
dnssd,5,"7558,8222,8765,8766,8882"
pcp,11,"6887,6970,7220,7225,7291,7488,7648,7652,7723,7753,7843"
nat,4,"2663,2709,3027,3105"
netlmm,8,"4830,4831,4832,5213,5844,5845,5847,6097"
smime,31,"2630,2632,2633,2634,2785,2984,3114,3125,3126,3183,3274,3369,3850,3851,3852,4853,5035,5083,5084,5126,5275,5408,5409,5652,5750,5751,5752,5753,5754,5911,5990"
IESG,2,"2964,7720"
sipcore,30,"5839,6026,6086,6141,6216,6223,6228,6442,6446,6665,6809,6878,7044,7118,7131,7134,7614,7621,7647,7984,8197,8217,8262,8498,8599,8606,8688,8760,8787,8898"
ltru,2,"5645,5646"
multimob,6,"6224,6636,7028,7161,7287,7411"
provreg,1,3734
bess,26,"7441,7543,7582,7611,7716,7734,7740,7814,7899,7900,7902,7988,8214,8317,8365,8388,8395,8502,8503,8534,8560,8584,8614,8950,9014,9026"
salud,1,7462
imapapnd,2,"7888,7889"
nntpext,1,3977
cbor,5,"8610,8742,8746,8943,8949"
6lo,15,"7388,7400,7428,7668,7973,8025,8065,8066,8105,8163,8505,8928,8929,8930,8931"
mipshop,15,"4068,4140,4866,5164,5268,5269,5270,5271,5380,5568,5677,5678,5679,5949,6058"
dime,30,"5447,5624,5719,5729,5777,5778,5779,5866,6408,6733,6734,6735,6736,6737,6738,6942,7068,7075,7155,7156,7423,7660,7678,7683,7944,7966,8506,8581,8582,8583"
kitten,21,"4768,5178,5179,5554,5587,5588,5653,6331,6595,6616,6680,7546,7628,7751,7802,8009,8062,8070,8129,8353,8636"
autoconf,1,5889
pilc,2,"3135,3819"
nomcom,1,3777
ecrit,22,"5012,5031,5069,5222,5223,5582,5964,6197,6443,6444,6739,6881,7090,7163,7378,7406,7840,7852,8147,8148,8876,9036"
vcarddav,7,"5689,6350,6351,6352,6473,6474,6715"
storm,10,"6172,6173,6580,6581,7143,7144,7145,7146,7147,7306"
noctools,1,1147
inch,1,5070
hybi,2,"6455,7692"
opsec,14,"4778,5635,6039,6094,6192,6274,7123,7126,7359,7404,7454,7610,7707,8704"
ipatm,1,2022
radius,4,"2138,2548,2809,2868"
rsvp,2,"2205,2747"
alto,9,"5693,6708,7285,7286,7971,8189,8686,8895,8896"
cdni,11,"6707,6770,7336,7337,7736,7937,7975,8006,8007,8008,8804"
avt,49,"3711,3984,4628,4629,4695,4696,4733,4734,4788,4855,4856,4867,4901,5104,5109,5117,5124,5188,5215,5219,5244,5285,5371,5372,5391,5404,5450,5459,5484,5506,5574,5577,5584,5669,5686,5691,5725,5760,5761,5764,5968,5993,6051,6128,6184,6185,6188,6222,6285"
harts,1,2150
dnsop,53,"2870,4472,4641,4697,4892,5358,6168,6303,6304,6305,6781,6841,7344,7477,7534,7535,7583,7646,7686,7706,7719,7766,7793,7816,7828,7871,7873,7901,8020,8027,8078,8109,8145,8198,8244,8482,8490,8499,8501,8509,8552,8553,8618,8624,8749,8767,8806,8901,8906,8914,8945,8976,9018"
