RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
928,Introduction to proposed DoD standard H-FP,M.A. Padlipsky,December 1984,UNKNOWN,Legacy,,
988,Host extensions for IP multicasting,S.E. Deering,July 1986,UNKNOWN,Legacy,,
1054,Host extensions for IP multicasting,S.E. Deering,May 1988,UNKNOWN,Legacy,,
1102,Policy routing in Internet protocols,D.D. Clark,May 1989,UNKNOWN,Legacy,,
1244,Site Security Handbook,"J.K. Reynolds,J.P. Holbrook",July 1991,INFORMATIONAL,Legacy,,
1258,BSD Rlogin,B. Kantor,September 1991,INFORMATIONAL,Legacy,,
1282,BSD Rlogin,B. Kantor,December 1991,INFORMATIONAL,Legacy,,
1413,Identification Protocol,M. St. Johns,February 1993,PROPOSED STANDARD,IETF,sec,ident
1414,Identification MIB,"M. Rose,M. St. Johns",February 1993,HISTORIC,IETF,sec,ident
1430,A Strategic Plan for Deploying an Internet X.500 Directory Service,"E. Huizer,R. Hobby,S. Hardcastle-Kille,S. Kent,V. Cerf",February 1993,INFORMATIONAL,IETF,app,osids
1457,Security Label Framework for the Internet,R. Housley,May 1993,INFORMATIONAL,Legacy,,
1459,Internet Relay Chat Protocol,"D. Reed,J. Oikarinen",May 1993,EXPERIMENTAL,Legacy,,
1507,DASS - Distributed Authentication Security Service,C. Kaufman,September 1993,EXPERIMENTAL,IETF,sec,cat
1620,Internet Architecture Extensions for Shared Media,"B. Braden,J. Postel,Y. Rekhter",May 1994,INFORMATIONAL,Legacy,,
1636,"Report of IAB Workshop on Security in the Internet Architecture - February 8-10, 1994","C. Huitema,D. Clark,R. Braden,S. Crocker",June 1994,INFORMATIONAL,Legacy,,
1704,On Internet Authentication,"N. Haller,R. Atkinson",October 1994,INFORMATIONAL,Legacy,,
1716,Towards Requirements for IP Routers,"F. Kastenholz,P. Almquist",November 1994,INFORMATIONAL,IETF,rtg,rreq
1752,The Recommendation for the IP Next Generation Protocol,"A. Mankin,S. Bradner",January 1995,PROPOSED STANDARD,Legacy,,
1812,Requirements for IP Version 4 Routers,F. Baker,June 1995,PROPOSED STANDARD,IETF,rtg,rreq
1824,The Exponential Security System TESS: An Identity-Based Cryptographic Protocol for Authenticated Key-Exchange (E.I.S.S.-Report 1995/4),H. Danisch,August 1995,INFORMATIONAL,Legacy,,
1825,Security Architecture for the Internet Protocol,R. Atkinson,August 1995,PROPOSED STANDARD,IETF,sec,ipsec
