Author,RFC_Match_Count
M.A. Padlipsky,1
S.E. Deering,2
D.D. Clark,1
J.K. Reynolds,1
J.P. Holbrook,1
B. Kantor,2
M. St. Johns,2
M. Rose,1
E. Huizer,1
R. Hobby,1
S. Hardcastle-Kille,1
S. Kent,3
V. Cerf,1
R. Housley,6
D. Reed,1
J. Oikarinen,1
C. Kaufman,2
B. Braden,1
J. Postel,1
Y. Rekhter,1
C. Huitema,1
D. Clark,1
R. Braden,1
S. Crocker,3
N. Haller,1
R. Atkinson,3
F. Kastenholz,2
P. Almquist,1
A. Mankin,1
S. Bradner,1
F. Baker,3
H. Danisch,1
J. Galvin,1
N. Freed,1
S. Murphy,2
H. Spencer,1
J. Robichaux,1
J. Sellers,1
I. Castineyra,1
M. Steenstrup,1
N. Chiappa,1
R. Bush,1
R. Elz,1
C. Allen,1
T. Dierks,3
B. Wijnen,4
U. Blumenthal,4
K. Sollins,1
B. Ramsdell,5
L. Lundblade,1
L. Repka,1
P. Hoffman,2
S. Dusse,1
G. Scott,1
C. Schmechel,1
S. Parker,1
H. Finney,2
J. Callas,3
L. Donnerhacke,2
R. Thayer,2
E. Guttman,2
G. Malkin,1
L. Leong,1
G. Lindberg,1
C. Adams,5
S. Farrell,6
A. Faizi,1
D. Jensen,1
E. Whitehead,1
S. Carter,1
Y. Goland,1
S. Chokhani,2
W. Ford,3
C. Perkins,3
J. Veizades,1
M. Day,1
D. Wallner,1
E. Harder,1
R. Agee,1
C. Ellison,1
A. Keromytis,1
J. Feigenbaum,1
J. Ioannidis,1
M. Blaze,1
C. Alaettinoglu,2
C. Villamizar,2
D. Meyer,3
J. Wray,1
R. Govindan,2
C. Kalt,1
R. Shirey,2
J. Kabat,1
M. Upadhyay,3
D. Estrin,1
D. Thaler,1
M. Handley,4
P. Radoslavov,1
S. Kumar,2
T. Ts\'o,1
E. Whelan,1
M. Zolotarev,1
P. Sylvester,1
R. Zuccherato,2
B. Patil,1
B. Wolff,1
D. Mitton,1
D. Nelson,1
M. St.Johns,1
M. Stevens,1
S. Barkley,1
M. Thomas,1
D. Pinkas,3
P. Cain,1
D. Jones,1
R. Woundy,1
D. Solo,1
W. Polk,2
C. Jennings,3
