Working_Group,RFC_Match_Count,Matched_RFC_IDs
kink,1,3129
perc,1,8871
dprive,1,8310
dnsind,1,2181
stdguide,1,2360
nimrod,1,1992
homenet,2,"7787,8375"
netconf,2,"4741,6241"
lmap,1,7594
sidr,1,6484
dhc,1,3256
mip4,2,"5265,6521"
ecrit,7,"5222,5582,6739,7378,8147,8148,8876"
dkim,1,5585
osids,1,1430
core,1,8613
enum,1,3761
smime,7,"2633,3851,5126,5408,5409,5751,5752"
savi,1,7513
softwire,1,5619
pki4ipsec,1,4945
mptcp,2,"6824,8684"
malloc,1,2909
avt,1,3984
manet,2,"3626,7181"
ident,2,"1413,1414"
dnsext,4,"3655,3833,4035,4986"
eai,3,"5504,5825,6857"
mmusic,1,2974
pkix,17,"2510,2527,3029,3161,3280,3281,3628,3647,3709,4158,4210,4683,5280,5697,5755,6277,6960"
cat,3,"1507,2744,2853"
lamps,1,8551
v6ops,2,"6104,7381"
avtcore,1,7714
tzdist,1,7808
dnsop,1,4697
pcn,1,5559
urn,1,2276
hip,2,"4423,5338"
usefor,1,5537
spki,1,2692
i2rs,1,7921
ipsecme,1,5685
svrloc,1,2608
mobike,1,4555
stir,1,7340
sip,2,"3325,6794"
pem,1,1848
mip6,5,"4225,4449,4640,4882,5026"
mile,1,8134
geopriv,1,5808
sacm,1,8248
send,1,3756
speermint,1,5344
repute,1,7070
yam,1,6409
aaa,2,"3127,4072"
6man,1,6436
emu,2,"6677,6678"
httpbis,1,7230
rps,2,"2725,2769"
mipshop,1,5164
appsawg,2,"7001,7601"
NON WORKING GROUP,18,"2813,4162,4310,4409,4458,5323,5451,5570,5910,6101,6189,6272,6281,6339,6541,6561,6762,8058"
ipfix,1,6183
sipping,2,"4189,5039"
teas,1,7823
kitten,2,"5653,8353"
dane,2,"6394,6698"
openpgp,2,"2440,4880"
tcpimpl,1,2398
dmarc,2,"7960,8601"
nsis,2,"4081,5971"
snmpv3,3,"2264,2574,3414"
isn,1,1941
uta,1,7817
radext,2,"6614,7585"
pce,1,8253
keyprov,1,6063
idwg,1,4767
roll,1,5673
trill,2,"7357,8302"
rreq,2,"1716,1812"
webdav,2,"2518,4918"
rserpool,2,"5352,5353"
i2nsf,1,8329
ltans,2,"4998,6283"
anima,2,"8990,8994"
httpauth,1,8120
ipsec,2,"1825,4301"
tls,3,"2246,4346,5246"
nea,4,"5209,5792,6876,7171"
oauth,3,"6819,7009,8628"
msec,4,"4535,4650,5197,5374"
ssh,1,2504
