RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
1,Host Software,S. Crocker,April 1969,UNKNOWN,Legacy,,
2,Host software,B. Duvall,April 1969,UNKNOWN,Legacy,,
3,Documentation conventions,S.D. Crocker,April 1969,UNKNOWN,Legacy,,
4,Network timetable,E.B. Shapiro,March 1969,UNKNOWN,Legacy,,
5,Decode Encode Language (DEL),J. Rulifson,June 1969,UNKNOWN,Legacy,,
6,Conversation with Bob Kahn,S.D. Crocker,April 1969,UNKNOWN,Legacy,,
7,Host-IMP interface,G. Deloche,May 1969,UNKNOWN,Legacy,,
8,ARPA Network Functional Specifications,G. Deloche,May 1969,UNKNOWN,Legacy,,
9,Host Software,G. Deloche,May 1969,UNKNOWN,Legacy,,
10,Documentation conventions,S.D. Crocker,July 1969,UNKNOWN,Legacy,,
11,Implementation of the Host - Host Software Procedures in GORDO,G. Deloche,August 1969,UNKNOWN,Legacy,,
12,IMP-Host interface flow diagrams,M. Wingfield,August 1969,UNKNOWN,Legacy,,
13,Zero Text Length EOF Message,V. Cerf,August 1969,UNKNOWN,Legacy,,
15,Network subsystem for time sharing hosts,C.S. Carr,September 1969,UNKNOWN,Legacy,,
16,M.I.T,S. Crocker,August 1969,UNKNOWN,Legacy,,
17,Some questions re: Host-IMP Protocol,J.E. Kreznar,August 1969,UNKNOWN,Legacy,,
18,IMP-IMP and HOST-HOST Control Links,V. Cerf,September 1969,UNKNOWN,Legacy,,
19,Two protocol suggestions to reduce congestion at swap bound nodes,J.E. Kreznar,October 1969,UNKNOWN,Legacy,,
20,ASCII format for network interchange,V.G. Cerf,October 1969,INTERNET STANDARD,Legacy,,
21,Network meeting,V.G. Cerf,October 1969,UNKNOWN,Legacy,,
22,Host-host control message formats,V.G. Cerf,October 1969,UNKNOWN,Legacy,,
23,Transmission of Multiple Control Messages,G. Gregg,October 1969,UNKNOWN,Legacy,,
24,Documentation Conventions,S.D. Crocker,November 1969,UNKNOWN,Legacy,,
25,No High Link Numbers,S.D. Crocker,October 1969,UNKNOWN,Legacy,,
27,Documentation Conventions,S.D. Crocker,December 1969,UNKNOWN,Legacy,,
28,Time Standards,W.K. English,January 1970,UNKNOWN,Legacy,,
29,Response to RFC 28,R.E. Kahn,January 1970,UNKNOWN,Legacy,,
30,Documentation Conventions,S.D. Crocker,February 1970,UNKNOWN,Legacy,,
31,Binary Message Forms in Computer,"D. Bobrow,W.R. Sutherland",February 1968,UNKNOWN,Legacy,,
32,Some Thoughts on SRI\'s Proposed Real Time Clock,J. Cole,February 1970,UNKNOWN,Legacy,,
33,New Host-Host Protocol,S.D. Crocker,February 1970,UNKNOWN,Legacy,,
34,Some Brief Preliminary Notes on the Augmentation Research Center Clock,W.K. English,February 1970,UNKNOWN,Legacy,,
35,Network Meeting,S.D. Crocker,March 1970,INFORMATIONAL,Legacy,,
36,Protocol Notes,S.D. Crocker,March 1970,UNKNOWN,Legacy,,
37,"Network Meeting Epilogue, etc",S.D. Crocker,March 1970,UNKNOWN,Legacy,,
38,Comments on Network Protocol from NWG/RFC #36,S.M. Wolfe,March 1970,UNKNOWN,Legacy,,
39,Comments on Protocol Re: NWG/RFC #36,"E. Harslem,J.F. Heafner",March 1970,UNKNOWN,Legacy,,
40,More Comments on the Forthcoming Protocol,"E. Harslem,J.F. Heafner",March 1970,UNKNOWN,Legacy,,
41,IMP-IMP Teletype Communication,J.T. Melvin,March 1970,UNKNOWN,Legacy,,
42,Message Data Types,E. Ancona,March 1970,UNKNOWN,Legacy,,
43,Proposed Meeting,A.G. Nemeth,April 1970,UNKNOWN,Legacy,,
44,Comments on NWG/RFC 33 and 36,"A. Landsberg,A. Shoshani,R. Long",April 1970,UNKNOWN,Legacy,,
45,New Protocol is Coming,"J. Postel,S.D. Crocker",April 1970,UNKNOWN,Legacy,,
46,ARPA Network protocol notes,E. Meyer,April 1970,UNKNOWN,Legacy,,
47,BBN\'s Comments on NWG/RFC #33,"J. Postel,S. Crocker",April 1970,UNKNOWN,Legacy,,
48,Possible protocol plateau,"J. Postel,S.D. Crocker",April 1970,UNKNOWN,Legacy,,
49,Conversations with S. Crocker (UCLA),E. Meyer,April 1970,UNKNOWN,Legacy,,
50,Comments on the Meyer Proposal,"E. Harslen,J. Heafner",April 1970,UNKNOWN,Legacy,,
51,Proposal for a Network Interchange Language,M. Elie,May 1970,UNKNOWN,Legacy,,
52,Updated distribution list,"J. Postel,S.D. Crocker",July 1970,UNKNOWN,Legacy,,
53,Official protocol mechanism,S.D. Crocker,June 1970,UNKNOWN,Legacy,,
54,Official Protocol Proffering,"J. Newkirk,J. Postel,M. Kraley,S.D. Crocker",June 1970,UNKNOWN,Legacy,,
55,Prototypical implementation of the NCP,"J. Newkirk,J. Postel,M. Kraley,S.D. Crocker",June 1970,UNKNOWN,Legacy,,
56,Third Level Protocol: Logger Protocol,"D. Black,E. Belove,L.G. Farquar,R. Flegal",June 1970,UNKNOWN,Legacy,,
57,Thoughts and Reflections on NWG/RFC 54,"J. Newkirk,M. Kraley",June 1970,UNKNOWN,Legacy,,
58,Logical Message Synchronization,T.P. Skinner,June 1970,UNKNOWN,Legacy,,
59,Flow Control - Fixed Versus Demand Allocation,E. Meyer,June 1970,UNKNOWN,Legacy,,
60,A Simplified NCP Protocol,R. Kalin,July 1970,UNKNOWN,Legacy,,
61,Note on Interprocess Communication in a Resource Sharing Computer Network,D.C. Walden,July 1970,UNKNOWN,Legacy,,
62,Systems for Interprocess Communication in a Resource Sharing Computer Network,D.C. Walden,August 1970,UNKNOWN,Legacy,,
