RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
75,Network Meeting,S.D. Crocker,October 1970,UNKNOWN,Legacy,,
77,Network meeting report,J. Postel,November 1970,UNKNOWN,Legacy,,
82,Network Meeting Notes,E. Meyer,December 1970,UNKNOWN,Legacy,,
100,Categorization and guide to NWG/RFCs,P.M. Karp,February 1971,UNKNOWN,Legacy,,
101,"Notes on the Network Working Group meeting, Urbana, Illinois, February 17, 1971",R.W. Watson,February 1971,UNKNOWN,Legacy,,
122,Network specifications for UCSB\'s Simple-Minded File System,J.E. White,April 1971,UNKNOWN,Legacy,,
129,Request for comments on socket name structure,"E. Harslem,E. Meyer,J. Heafner",April 1971,UNKNOWN,Legacy,,
136,Host accounting and administrative procedures,R.E. Kahn,April 1971,UNKNOWN,Legacy,,
147,Definition of a socket,J.M. Winett,May 1971,UNKNOWN,Legacy,,
150,Use of IPC Facilities: A Working Paper,R.B. Kalin,May 1971,UNKNOWN,Legacy,,
154,Exposition Style,S.D. Crocker,May 1971,UNKNOWN,Legacy,,
160,RFC brief list,Network Information Center. Stanford Research Institute,May 1971,UNKNOWN,Legacy,,
167,Socket conventions reconsidered,"A.K. Bhushan,J.M. Winett,R.M. Metcalfe",May 1971,UNKNOWN,Legacy,,
187,Network/440 Protocol Concept,"D.B. McKay,D.P. Karp",July 1971,UNKNOWN,Legacy,,
216,Telnet Access to UCSB\'s On-Line System,J.E. White,September 1971,UNKNOWN,Legacy,,
231,Service center standards for remote usage: A user\'s view,"E. Harslem,J.F. Heafner",September 1971,UNKNOWN,Legacy,,
283,NETRJT: Remote Job Service Protocol for TIPS,R.T. Braden,December 1971,UNKNOWN,Legacy,,
369,"Evaluation of ARPANET services January-March, 1972",J.R. Pickens,July 1972,UNKNOWN,Legacy,,
385,Comments on the File Transfer Protocol,A.K. Bhushan,August 1972,UNKNOWN,Legacy,,
399,SMFS Login and Logout,M. Krilanovich,September 1972,UNKNOWN,Legacy,,
426,Reconnection Protocol,R. Thomas,January 1973,UNKNOWN,Legacy,,
436,Announcement of RJS at UCSB,M. Krilanovich,January 1973,UNKNOWN,Legacy,,
451,Tentative proposal for a Unified User Level Protocol,M.A. Padlipsky,February 1973,UNKNOWN,Legacy,,
454,File Transfer Protocol - meeting announcement and a new proposed document,A.M. McKenzie,February 1973,UNKNOWN,Legacy,,
471,Workshop on multi-site executive programs,R. Thomas,March 1973,UNKNOWN,Legacy,,
487,Free file transfer,R.D. Bressler,April 1973,UNKNOWN,Legacy,,
501,"Un-muddling ""free file transfer""",K.T. Pogran,May 1973,UNKNOWN,Legacy,,
504,Distributed resources workshop announcement,R. Thomas,April 1973,UNKNOWN,Legacy,,
524,Proposed Mail Protocol,J.E. White,June 1973,UNKNOWN,Legacy,,
532,UCSD-CC Server-FTP facility,R.G. Merryman,July 1973,UNKNOWN,Legacy,,
542,File Transfer Protocol,N. Neigus,August 1973,UNKNOWN,Legacy,,
555,Responses to critiques of the proposed mail protocol,J.E. White,July 1973,UNKNOWN,Legacy,,
585,ARPANET users interest working group meeting,"D. Crocker,E.J. Feinler,J. Iseli,N. Neigus",November 1973,UNKNOWN,Legacy,,
592,Some thoughts on system design to facilitate resource sharing,R.W. Watson,November 1973,UNKNOWN,Legacy,,
610,Further datalanguage design concepts,"J. Hill,R. Winter,W. Greiff",December 1973,UNKNOWN,Legacy,,
640,Revised FTP reply codes,J. Postel,June 1974,UNKNOWN,Legacy,,
666,Specification of the Unified User-Level Protocol,M.A. Padlipsky,November 1974,UNKNOWN,Legacy,,
672,Multi-site data collection facility,R. Schantz,December 1974,UNKNOWN,Legacy,,
677,Maintenance of duplicate databases,"P.R. Johnson,R. Thomas",January 1975,UNKNOWN,Legacy,,
721,Out-of-Band Control Signals in a Host-to-Host Protocol,L.L. Garlick,September 1976,HISTORIC,Legacy,,
733,Standard for the format of ARPA network text messages,"D. Crocker,D.A. Henderson,J. Vittal,K.T. Pogran",November 1977,UNKNOWN,Legacy,,
739,Assigned numbers,J. Postel,November 1977,HISTORIC,Legacy,,
740,NETRJS Protocol,R.T. Braden,November 1977,HISTORIC,Legacy,,
755,Assigned numbers,J. Postel,May 1979,HISTORIC,Legacy,,
759,Internet Message Protocol,J. Postel,August 1980,HISTORIC,Legacy,,
765,File Transfer Protocol specification,J. Postel,June 1980,UNKNOWN,Legacy,,
808,Summary of computer mail services meeting held at BBN on 10 January 1979,J. Postel,March 1982,UNKNOWN,Legacy,,
822,STANDARD FOR THE FORMAT OF ARPA INTERNET TEXT MESSAGES,D. Crocker,August 1982,INTERNET STANDARD,Legacy,,
869,Host Monitoring Protocol,R. Hinden,December 1983,HISTORIC,Legacy,,
871,Perspective on the ARPANET reference model,M.A. Padlipsky,September 1982,UNKNOWN,Legacy,,
873,Illusion of vendor support,M.A. Padlipsky,September 1982,UNKNOWN,Legacy,,
892,ISO Transport Protocol specification,International Organization for Standardization,December 1983,UNKNOWN,Legacy,,
905,ISO Transport Protocol specification ISO DP 8073,ISO,April 1984,UNKNOWN,Legacy,,
913,Simple File Transfer Protocol,M. Lottor,September 1984,HISTORIC,Legacy,,
926,Protocol for providing the connectionless mode network services,International Organization for Standardization,December 1984,UNKNOWN,Legacy,,
939,Executive summary of the NRC report on transport protocols for Department of Defense data networks,National Research Council,February 1985,UNKNOWN,Legacy,,
942,Transport protocols for Department of Defense data networks,National Research Council,February 1985,UNKNOWN,Legacy,,
